gene_name	chromosome	start	end	length
WASHC4	12	105107324	105169130	61807
CHKB-DT	22	50583026	50595634	12609
BEX5	X	102153708	102155977	2270
	22	50628252	50629680	1429
CACNG2-DT	22	36703819	36721596	17778
	22	36754086	36755731	1646
TSC22D3	X	107713221	107777342	64122
IFT27	22	36758202	36776256	18055
COL11A2P1	HSCHR6_MHC_APD_CTG1	4408419	4411955	3537
SUMO2P1	HSCHR6_MHC_APD_CTG1	901773	902056	284
OR2I1P	HSCHR6_MHC_APD_CTG1	818913	819860	948
HLA-A	HSCHR6_MHC_APD_CTG1	1147348	1267669	120322
TCF19	HSCHR6_MHC_MANN_CTG1	2469087	2474716	5630
	19	7912648	7913518	871
	19	7918652	7919157	506
CTXN1	19	7924491	7926135	1645
	19	7926001	7926810	810
TIMM44	19	7926718	7943667	16950
DDX6P1	HSCHR6_MHC_MANN_CTG1	595229	596664	1436
MOG	HSCHR6_MHC_MANN_CTG1	922098	937486	15389
	HSCHRX_2_CTG14	42813	113209	70397
	HSCHRX_2_CTG14	91467	91809	343
UBE2NL	HSCHRX_2_CTG14	169154	170343	1190
TPPP3	16	67389809	67393518	3710
	3	179583262	179583762	501
	3	179584271	179584410	140
MRPL47	3	179588285	179604649	16365
CHGB	20	5911510	5925353	13844
	1	233904104	233905931	1828
TMEM78	1	229249636	229251810	2175
	1	234284972	234285541	570
SH3BP5L	1	248810446	248825915	15470
KANK1P1	20	5928085	5929318	1234
TRMT6	20	5937228	5950558	13331
NCBP2L	X	107774899	107795829	20931
RNU1-123P	16	67390691	67390850	160
NKRF	X	119588337	119606443	18107
ZDHHC1	16	67394152	67416833	22682
	22	36766478	36769022	2545
VPREB1	22	22244780	22245515	736
MIR4680	10	110898090	110898155	66
MIR1302-6	7	18127220	18127309	90
LHFPL7	22	24935098	24946695	11598
	7	18429062	18430738	1677
BBIP1	10	110898730	110919201	20472
WNT2B	1	112466541	112530165	63625
RN7SKP266	7	18807993	18808279	287
HDAC9-AS1	7	18892096	18899433	7338
NPM1P13	7	18948898	18949762	865
	22	25009685	25015072	5388
	22	25022594	25024652	2059
	22	25048967	25051966	3000
	22	25052122	25065241	13120
KIAA1671-AS1	22	25102433	25112692	10260
	22	44102779	44116232	13454
	7	77246340	77258123	11784
	22	44139365	44153626	14262
PTMAP1	HSCHR6_MHC_SSTO_CTG1	1934391	1934657	267
CDHR5	11	616577	626078	9502
TRIM31	HSCHR6_MHC_SSTO_CTG1	1401829	1412029	10201
FKBPL	6	32128707	32130288	1582
PARVG	22	44172956	44219533	46578
FGL2	7	77193369	77199848	6480
FRMPD4	X	11822423	12724523	902101
	6	32152802	32154365	1564
	19	7959123	7960012	890
	7	2835621	2836022	402
RN7SKP130	7	2999094	2999394	301
SPPL2B	19	2328615	2355095	26481
PPT2	6	32153441	32163678	10238
LAT2	7	74199652	74229834	30183
	3	179614775	179614878	104
CPN2	3	194339768	194351328	11561
GEMIN8P4	1	89993593	89994321	729
HSD11B2	16	67430652	67437553	6902
LRRC15	3	194355249	194369743	14495
FYB2	1	56718789	56819696	100908
ZBTB1	14	64503712	64533690	29979
MCM8	20	5950652	5998977	48326
GK	X	30653359	30731462	78104
	3	194471923	194472085	163
HLA-U	HSCHR6_MHC_SSTO_CTG1	1232036	1232220	185
RNU6-1101P	3	194533503	194533583	81
HCG27	HSCHR6_MHC_SSTO_CTG1	2501184	2507388	6205
RPL23AP93	3	194562978	194564001	1024
	HSCHR6_MHC_SSTO_CTG1	2829503	2845866	16364
	3	194637505	194637664	160
LSG1	3	194640791	194672463	31673
COL11A2P1	HSCHR6_MHC_SSTO_CTG1	4552751	4556287	3537
TRIM10	HSCHR6_MHC_SSTO_CTG1	1450870	1459861	8992
	15	28857882	28858398	517
TRIM9	14	50975262	51096061	120800
	15	28881667	28884655	2989
	15	28970196	28977464	7269
	15	29233673	29235137	1465
	15	29233868	29233979	112
NSMCE3	15	29264989	29269822	4834
	16	67430667	67431464	798
AGRP	16	67482571	67483547	977
APBA2	15	28884483	29118315	233833
RPL17P40	16	16094192	16095209	1018
	16	16223027	16224261	1235
	16	16260866	16261235	370
CDC7	1	91500851	91525764	24914
	16	16290135	16292242	2108
MIR3179-2	16	16300159	16300242	84
MIR3670-2	16	16306370	16306434	65
	16	16308542	16310000	1459
MIR3180-2	16	16309879	16309966	88
PKD1P1	16	16310341	16334190	23850
Y_RNA	16	16314112	16314211	100
	16	16317444	16350590	33147
PQBP1	HSCHRX_3_CTG3	49032	62237	13206
	17	28573117	28574243	1127
HMCN2	9	130265760	130434123	168364
	HSCHR6_MHC_SSTO_CTG1	2099402	2131367	31966
SAPCD1	HSCHR6_MHC_SSTO_CTG1	3062091	3064143	2053
RPL7AP7	HSCHR6_MHC_APD_CTG1	1068817	1069613	797
PSMB8-AS1	HSCHR6_MHC_APD_CTG1	4148951	4151360	2410
SPAG5	17	28577565	28599025	21461
TIMM17B	HSCHRX_3_CTG3	52282	56978	4697
LINC01556	HSCHR6_MHC_SSTO_CTG1	253273	253933	661
OR2J4P	HSCHR6_MHC_SSTO_CTG1	490894	491829	936
OR2U1P	HSCHR6_MHC_SSTO_CTG1	572104	573480	1377
HLA-DQB3	HSCHR6_MHC_SSTO_CTG1	4130905	4131842	938
OR2J2	HSCHR6_MHC_SSTO_CTG1	482671	483942	1272
	10	110907483	110908182	700
	10	110910596	110912244	1649
TRIM26	HSCHR6_MHC_APD_CTG1	1442506	1471482	28977
RPL3P2	HSCHR6_MHC_SSTO_CTG1	2582226	2583425	1200
DHX16	HSCHR6_MHC_SSTO_CTG1	1953870	1973820	19951
SLC35A2	HSCHRX_3_CTG3	62015	70793	8779
FAM43A	3	194685883	194689037	3155
SHOC2	10	110919367	111017307	97941
BHLHE40	3	4979437	4985323	5887
HIF1A	14	61695513	61748259	52747
PIM2	HSCHRX_3_CTG3	72017	77859	5843
OTUD5	HSCHRX_3_CTG3	80859	117221	36363
	HSCHRX_3_CTG3	98827	99643	817
	HSCHRX_3_CTG3	117478	118608	1131
RNU6-722P	HSCHRX_3_CTG3	118014	118117	104
KCND1	HSCHRX_3_CTG3	120213	130679	10467
SLCO1B3	12	20810702	20916911	106210
GRIPAP1	HSCHRX_3_CTG3	132555	161100	28546
MIR6511A2	16	16324588	16324654	67
MIR6770-2	16	16329305	16329364	60
	16	16351545	16351653	109
PKD1P2	16	16356224	16377507	21284
RNF10P1	3	5068676	5069044	369
UBTFL8	3	5080212	5084429	4218
MYBL1	8	66562175	66614247	52073
	22	44183031	44187739	4709
	22	44210442	44229512	19071
MIR6511A3	16	16368876	16368942	67
	16	69240549	69241929	1381
PACSIN2	22	42835412	43015149	179738
	16	69299682	69322700	23019
	1	212916787	212917577	791
NDUFAF4P4	1	174849667	174850168	502
COG8	16	69320140	69339583	19444
	1	234356704	234357141	438
LINC01691	1	121573946	121580524	6579
	1	234372186	234372811	626
LINC01363	1	167175363	167195792	20430
PTGS1	9	122370530	122395703	25174
Y_RNA	3	5086178	5086279	102
CD24P5	3	5099627	5099861	235
ARL8B	3	5122249	5180911	58663
OR2U1P	HSCHR6_MHC_COX_CTG1	749271	750647	1377
	1	234357006	234365828	8823
OR2N1P	HSCHR6_MHC_COX_CTG1	624424	625360	937
NECAP1P2	2	74350069	74351009	941
ZNF311	HSCHR6_MHC_COX_CTG1	481256	491796	10541
GPR52	1	174447964	174449545	1582
FEN1P1	1	91328369	91329513	1145
TAF13P2	2	74351134	74351419	286
	2	74393836	74421662	27827
	2	74407797	74413603	5807
	19	21381220	21381921	702
SMYD3	1	245749342	246507312	757971
	2	74415422	74416781	1360
	19	21382865	21387177	4313
HMGA1P8	2	74418122	74418442	321
PDF	16	69326913	69330588	3676
ZNF493	19	21397119	21427577	30459
SORD	15	45023147	45077185	54039
LINC00533	HSCHR6_MHC_COX_CTG1	138124	144356	6233
WDR54	2	74421678	74425755	4078
OR2U2P	HSCHR6_MHC_COX_CTG1	755030	755989	960
LINC01556	HSCHR6_MHC_COX_CTG1	430282	430942	661
PSORS1C1	HSCHR6_MHC_COX_CTG1	2597125	2622431	25307
	16	69328644	69334871	6228
	16	69335091	69356306	21216
RPS17P1	HSCHR6_MHC_COX_CTG1	975723	976128	406
	16	69335276	69351730	16455
OR2J3	HSCHR6_MHC_COX_CTG1	598439	599374	936
	HSCHR6_MHC_COX_CTG1	1421497	1422489	993
OR2H4P	HSCHR6_MHC_COX_CTG1	701808	702745	938
TRIM26BP	HSCHR6_MHC_COX_CTG1	1718054	1722043	3990
KCNC2	12	75040077	75209839	169763
MUC22	HSCHR6_MHC_COX_CTG1	2490065	2515096	25032
	3	5156905	5187329	30425
NIP7	16	69337996	69343106	5111
	19	21405159	21491266	86108
	20	5950949	6039856	88908
	3	5187172	5188298	1127
RPSAP2	HSCHR6_MHC_COX_CTG1	222690	223577	888
	HSCHR6_MHC_COX_CTG1	1838958	1839591	634
PPP1R10	HSCHR6_MHC_COX_CTG1	2080124	2098336	18213
RPL7P4	HSCHR6_MHC_APD_CTG1	2026311	2027040	730
LINC00664	19	21483374	21503238	19865
OR12D3	HSCHR6_MHC_APD_CTG1	710535	715763	5229
EDEM1	3	5187646	5219958	32313
Y_RNA	20	5964538	5964650	113
SNHG32	HSCHR6_MHC_APD_CTG1	3167223	3172381	5159
	20	5965180	5965511	332
MCM8-AS1	20	5990943	6005821	14879
	20	6000418	6000941	524
RN7SL498P	20	6001733	6002030	298
CRLS1	20	6006093	6040053	33961
BNIP3P26	19	21521343	21521896	554
RPS26P56	X	129408382	129408621	240
RNA5SP513	X	129436530	129436647	118
CD209	19	7739993	7747564	7572
SMARCA1	X	129446501	129523500	77000
LEF1	4	108047545	108168956	121412
PPT2-EGFL8	6	32153845	32171978	18134
SCT	11	626309	627181	873
DRD4	11	637269	640706	3438
TMED6	16	69343250	69351786	8537
BRD2	HSCHR6_MHC_SSTO_CTG1	4367907	4430762	62856
MIR4790	3	5250177	5250255	79
RN7SL553P	3	5252926	5253223	298
	3	5255535	5256761	1227
	3	72301616	72319429	17814
	3	72321051	72324027	2977
PANO1	11	797511	799190	1680
	3	72504806	72550552	45747
LINC02547	11	12030875	12061785	30911
	11	12066929	12073014	6086
	20	6065966	6067897	1932
RNU1-62P	3	72576691	72576854	164
TARDBPP1	20	6200989	6202191	1203
LINC02989	11	12086891	12089441	2551
MTCO3P47	3	72583370	72583535	166
LRRN4	20	6040546	6054060	13515
PARVA	11	12377563	12535356	157794
	15	45041716	45058707	16992
SPAG5-AS1	17	28598790	28617377	18588
Y_RNA	15	45047103	45047215	113
TERF2	16	69355567	69408571	53005
	3	55335462	55350915	15454
	15	45073492	45074048	557
	3	55360443	55361829	1387
DUOX2	15	45092650	45114172	21523
TFE3	HSCHRX_3_CTG3	187561	202245	14685
WNT5A-AS1	3	55487699	55488308	610
	3	55493830	55505261	11432
ZFP57	HSCHR6_MHC_COX_CTG1	1158865	1167618	8754
	17	28607963	28609730	1768
	3	55610603	55613104	2502
PRAF2	HSCHRX_3_CTG3	230112	232953	2842
ERC2-IT1	3	55657206	55659382	2177
	17	28633206	28635950	2745
INO80B	2	74455087	74457944	2858
MIR3938	3	55852492	55852594	103
RN7SKP45	3	56072104	56072407	304
RNU1-55P	20	5890055	5890212	158
	HSCHRX_3_CTG3	230421	238838	8418
RNA5SP133	3	56185104	56185222	119
	20	6213699	6215381	1683
	20	6219199	6219443	245
	20	6220330	6220759	430
LINC02569	HSCHR6_MHC_MANN_CTG1	1826487	1829438	2952
WDR45	HSCHRX_3_CTG3	233384	260121	26738
SDF2	17	28648346	28662189	13844
ATRN	20	3471018	3651118	180101
SORBS3	8	22544986	22575788	30803
HLA-G	HSCHR6_MHC_MANN_CTG1	1089454	1093611	4158
CCDC66	3	56557161	56621837	64677
EGFL8	6	32164595	32168281	3687
HCG17	HSCHR6_MHC_COX_CTG1	1713805	1805811	92007
ZFC3H1	12	71609599	71667725	58127
HCG18	HSCHR6_MHC_COX_CTG1	1770488	1806827	36340
RPL13AP6	10	110936622	110937233	612
MIR548E	10	110988926	110989013	88
ADRA2A	10	111077029	111080907	3879
RNU4-52P	HSCHRX_3_CTG3	240979	241116	138
GPKOW	HSCHRX_3_CTG3	272358	282686	10329
	10	111104956	111105248	293
	1	51801028	51801307	280
RN7SL262P	HSCHRX_3_CTG3	311602	311895	294
	HSCHRX_3_CTG3	314193	316302	2110
HMGB3P6	1	164356767	164357364	598
EGR2	10	62811996	62819167	7172
	HSCHRX_3_CTG3	314813	315236	424
	1	215393646	215394418	773
MAGIX	HSCHRX_3_CTG3	321515	327725	6211
	1	199908921	199909648	728
LINC01681	1	170173865	170304358	130494
	HSCHRX_3_CTG3	324527	324923	397
CCDC120	HSCHRX_3_CTG3	212407	228809	16403
RPS12P28	17	28655557	28655983	427
	10	62814433	62919907	105475
SUPT6H	17	28662198	28702679	40482
OVAAL	1	180509380	180566523	57144
	11	12538083	12540967	2885
OR4A11P	11	55318560	55319465	906
OR4A12P	11	55325756	55326673	918
INO80B-WBP1	2	74455088	74460884	5797
TAF5	10	103367966	103389065	21100
OR4A9P	11	55388529	55389472	944
OR4X7P	11	55411526	55411717	192
OR4A10P	11	55430478	55432370	1893
KCTD3	1	215567304	215621807	54504
OR4A17P	11	55444435	55445338	904
OR4A13P	11	55466771	55467712	942
OR4A50P	11	55475943	55478512	2570
RPL7AP55	11	7783697	7784407	711
WBP1	2	74458400	74460891	2492
USP54	10	73497538	73626117	128580
	14	61734138	61776260	42123
OR5E1P	11	7848700	7849626	927
RNU6-943P	11	7889182	7889279	98
OR10G6	11	123994163	123995161	999
SNAPC1	14	61762420	61796428	34009
	16	69443240	69444290	1051
	16	69463844	69466264	2421
DUOXA2	15	45114326	45118421	4096
OR10G5P	11	124009655	124010012	358
MIR1538	16	69565808	69565868	61
	16	69632141	69632571	431
	HSCHR6_MHC_APD_CTG1	1199822	1200814	993
VWA7	HSCHR6_MHC_APD_CTG1	3098202	3109905	11704
OR10G9	11	124023013	124023948	936
LY6G5C	HSCHR6_MHC_COX_CTG1	3153975	3161330	7356
ACSF3	16	89088375	89164121	75747
OR10D5P	11	124054793	124055707	915
MIR130A	11	57641198	57641286	89
TTC9C	11	62728069	62740293	12225
RFC2	7	74231499	74254458	22960
AGPAT1	6	32168212	32178096	9885
PAIP1P1	HSCHR6_MHC_APD_CTG1	1444849	1446672	1824
	HSCHR6_MHC_MANN_CTG1	985643	986633	991
	HSCHR6_MHC_APD_CTG1	1688775	1689408	634
DHX16	HSCHR6_MHC_MANN_CTG1	1963343	1983290	19948
RPL15P4	HSCHR6_MHC_APD_CTG1	2860663	2861242	580
LINC02569	HSCHR6_MHC_APD_CTG1	1845770	1848724	2955
MAS1L	HSCHR6_MHC_APD_CTG1	752427	753563	1137
	HSCHR6_MHC_COX_CTG1	3471051	3474580	3530
RPS17P1	HSCHR6_MHC_APD_CTG1	754933	755338	406
HCG4B	HSCHR6_MHC_APD_CTG1	1185660	1186650	991
HLA-Z	HSCHR6_MHC_APD_CTG1	4201238	4201312	75
HLA-N	HSCHR6_MHC_APD_CTG1	1680912	1681046	135
HSPA1A	HSCHR6_MHC_COX_CTG1	3292715	3295197	2483
PBX2	HSCHR6_MHC_APD_CTG1	3517335	3522785	5451
ZBTB3	11	62748319	62754184	5866
DUOX1	15	45129933	45165576	35644
OR2P1P	HSCHR6_MHC_COX_CTG1	558310	559082	773
NOP56P1	HSCHR6_MHC_COX_CTG1	274331	274702	372
UBDP1	HSCHR6_MHC_COX_CTG1	951048	956260	5213
OR2H5P	HSCHR6_MHC_COX_CTG1	1060389	1061316	928
HLA-F-AS1	HSCHR6_MHC_COX_CTG1	1210457	1232895	22439
POLR2G	11	62761565	62766710	5146
	14	61801713	61803634	1922
COX4I1P1	14	61831861	61832369	509
HSPA1L	HSCHR6_MHC_COX_CTG1	3286871	3292316	5446
	14	62069518	62081154	11637
	14	62103122	62117175	14054
	HSCHR6_MHC_COX_CTG1	610759	615455	4697
LINC00644	14	62134149	62139973	5825
	14	62150656	62152258	1603
	HSCHR6_MHC_COX_CTG1	328388	329525	1138
	14	28318141	28418612	100472
GPSM3	HSCHR6_MHC_COX_CTG1	3629115	3633872	4758
REC8	14	24171853	24180257	8405
NEDD1	12	96907224	96953780	46557
POLR1HASP	HSCHR6_MHC_APD_CTG1	1258723	1319738	61016
SF3A3P1	20	3489529	3491005	1477
GFRA4	20	3659248	3663399	4152
	X	129518576	129518647	72
OGN	HG1012_PATCH	217997	239425	21429
OCRL	X	129539849	129592561	52713
OMD	HG1012_PATCH	247109	259200	12092
BEND3P2	HG1012_PATCH	5970	8223	2254
PRSS47P	HG1012_PATCH	11964	24364	12401
	HG1012_PATCH	21679	25885	4207
	2	74465339	74472961	7623
MRPL53	2	74471982	74472687	706
TTLL1	22	43039516	43089419	49904
IARS1	HG1012_PATCH	44936	128583	83648
	1	233836080	233836432	353
LINC01682	1	229812917	229892046	79130
OR2I1P	HSCHR6_MHC_COX_CTG1	1039700	1040647	948
OR2W1	HSCHR6_MHC_COX_CTG1	530701	531728	1028
MICC	HSCHR6_MHC_COX_CTG1	1894398	1899003	4606
ZC3H12A	1	37474580	37484377	9798
LSM2	HSCHR6_MHC_COX_CTG1	3274635	3284226	9592
RPSAP34	4	108407843	108408578	736
TTC31	2	74483073	74494559	11487
ZACNP1	4	108415220	108416639	1420
SMOX	20	4120980	4187747	66768
EXOC7P1	4	108417705	108419763	2059
RAB28	4	13361354	13484365	123012
PSMB9	HSCHR6_MHC_APD_CTG1	4149001	4184429	35429
OR1L3	9	122675130	122676104	975
	1	233724454	233730746	6293
	1	167162423	167162837	415
TTLL11	9	121815674	122093606	277933
	11	62771120	62771606	487
TAF6L	11	62771357	62787342	15986
HHAT	1	210328252	210676296	348045
H1-8P1	3	69535664	69536693	1030
	3	69564106	69571172	7067
	3	69591341	69593121	1781
RN7SL418P	3	69769487	69769773	287
SCAND3	HSCHR6_MHC_COX_CTG1	63388	77211	13824
SCN11A	3	38845764	39052157	206394
LY6G5B	HSCHR6_MHC_MANN_CTG1	2975426	2978593	3168
OR12D2	HSCHR6_MHC_COX_CTG1	883016	884084	1069
MIR3651	HG1012_PATCH	127187	127276	90
SNORA84	HG1012_PATCH	127190	127322	133
AMBP	9	114060127	114078328	18202
ZDHHC20P1	HSCHR6_MHC_SSTO_CTG1	1017162	1017584	423
NOL8	HG1012_PATCH	132087	160365	28279
IER3	HSCHR6_MHC_SSTO_CTG1	2043995	2045350	1356
SUCLA2P1	HSCHR6_MHC_MANN_CTG1	1779117	1780486	1370
OR5V1	HSCHR6_MHC_COX_CTG1	841820	918416	76597
HLA-DRB1	HSCHR6_MHC_MANN_CTG1	3988943	4023043	34101
KRT18P1	HSCHR6_MHC_MANN_CTG1	234692	236022	1331
KRT18P1	HSCHR6_MHC_COX_CTG1	455539	456869	1331
HLA-DPA1	HSCHR6_MHC_MANN_CTG1	4484266	4500478	16213
LINC01623	HSCHR6_MHC_COX_CTG1	350142	353890	3749
PRRT1	HSCHR6_MHC_COX_CTG1	3586696	3592712	6017
HLA-H	HSCHR6_MHC_SSTO_CTG1	1187588	1190304	2717
LINC01015	HSCHR6_MHC_SSTO_CTG1	838436	842584	4149
DNASE1L1	X	154401236	154412112	10877
	HSCHR6_MHC_SSTO_CTG1	433573	438270	4698
RPL12P1	HSCHR6_MHC_SSTO_CTG1	4848758	4849255	498
TMPOP1	HSCHR6_MHC_SSTO_CTG1	1764892	1766429	1538
RPS18	HSCHR6_MHC_SSTO_CTG1	4720691	4724211	3521
LINC02829	HSCHR6_MHC_APD_CTG1	763171	776217	13047
ETF1P1	HSCHR6_MHC_APD_CTG1	1289773	1291063	1291
HLA-U	HSCHR6_MHC_APD_CTG1	1192024	1192209	186
TMEM223	11	62771629	62792006	20378
DDX39B	HSCHR6_MHC_APD_CTG1	2862768	2871733	8966
	HG1012_PATCH	174387	176392	2006
CENPP	HG1012_PATCH	160682	455256	294575
OR14J1	HSCHR6_MHC_SSTO_CTG1	616123	617088	966
AIF1	HSCHR6_MHC_SSTO_CTG1	2914470	2916307	1838
BMS1P7	10	48050282	48060016	9735
ECM2	HG1012_PATCH	328281	371382	43102
FRMPD2	10	48153088	48274696	121609
MIR4670	HG1012_PATCH	362711	362785	75
	HG1012_PATCH	373780	373911	132
LY6G6E	HSCHR6_MHC_COX_CTG1	3189620	3191096	1477
	11	62786023	62786785	763
	HG1012_PATCH	434821	447095	12275
	HG1012_PATCH	40085	44887	4803
TMEM179B	11	62787402	62790400	2999
ASPN	HG1012_PATCH	290934	317233	26300
	HSCHR6_MHC_MANN_CTG1	1143746	1144708	963
BAG6	HSCHR6_MHC_MANN_CTG1	2944068	2957751	13684
HCG4	HSCHR6_MHC_COX_CTG1	1275536	1276510	975
HCG21	HSCHR6_MHC_COX_CTG1	2425554	2434436	8883
MRPS18B	HSCHR6_MHC_COX_CTG1	2097433	2106119	8687
	16	89113175	89115279	2105
LINC00304	16	89159146	89164245	5100
MIR6748	11	62789815	62789885	71
LINC02138	16	89166383	89169147	2765
CDH15	16	89171748	89195492	23745
CPNE6	14	24070837	24078100	7264
NXF1	11	62792123	62806302	14180
KIF12	9	114086126	114099292	13167
PEX11G	19	7476875	7497449	20575
PCGF1	2	74505043	74507695	2653
RPL13P	HSCHR6_MHC_COX_CTG1	351928	352559	632
LINC03003	HSCHR6_MHC_COX_CTG1	710539	753653	43115
TTLL1-AS1	22	43038585	43052366	13782
SLC30A8	8	116950273	117176714	226442
RPP21	HSCHR6_MHC_COX_CTG1	1808989	1826565	17577
	22	43092167	43092524	358
BIK	22	43110750	43129712	18963
	16	89226807	89228692	1886
	16	89268104	89273044	4941
	16	89296128	89298317	2190
	16	89321133	89325110	3978
LINC01433	20	4192932	4195953	3022
FERMT1	20	6074845	6123214	48370
	17	28670054	28672804	2751
ZNF778	16	89217703	89237141	19439
LINC02843	9	88627063	88652180	25118
SAXO5	19	7492976	7508450	15475
RBM34	1	235131183	235161283	30101
OR5V1	HSCHR6_MHC_SSTO_CTG1	664681	740978	76298
ASIC5	4	155829729	155866277	36549
MCAT	22	43132209	43143398	11190
NOP56P1	HSCHR6_MHC_SSTO_CTG1	92972	93343	372
HLA-DOA	HSCHR6_MHC_SSTO_CTG1	4453373	4458806	5434
	HG1047_PATCH	5301	6330	1030
NPR2	9	35791003	35809732	18730
C8orf33	HG1047_PATCH	9906	24126	14221
RAB34	17	28714281	28718429	4149
TDO2	4	155854738	155920406	65669
KRT18P1	HSCHR6_MHC_SSTO_CTG1	278515	279845	1331
OR2W1	HSCHR6_MHC_SSTO_CTG1	353570	354597	1028
HLA-Z	HSCHR6_MHC_SSTO_CTG1	4295623	4295697	75
DHFRP2	HSCHR6_MHC_SSTO_CTG1	2668587	2669133	547
ZNF311	HSCHR6_MHC_SSTO_CTG1	304250	314674	10425
TTLL12	22	43166622	43187134	20513
PSORS1C3	HSCHR6_MHC_SSTO_CTG1	2477166	2481332	4167
	19	7507052	7519622	12571
HLA-DRB7	HSCHR6_MHC_SSTO_CTG1	3935637	3954816	19180
HLA-P	HSCHR6_MHC_SSTO_CTG1	1106450	1108480	2031
ZNF358	19	7515292	7521025	5734
TLX2	2	74513463	74517148	3686
DDX39BP1	HSCHR6_MHC_SSTO_CTG1	1206270	1206636	367
HLA-DRB1	HSCHR6_MHC_SSTO_CTG1	3979128	4012352	33225
	19	7519916	7520460	545
MCOLN1	19	7522624	7534009	11386
OR2G1P	HSCHR6_MHC_SSTO_CTG1	538637	539567	931
GNL1	HSCHR6_MHC_SSTO_CTG1	1842133	1857929	15797
NOMO3	16	16232506	16300806	68301
	1	233844621	233865370	20750
	1	186521773	186522304	532
TEDDM1	1	182398117	182400667	2551
NMNAT1P2	1	164343005	164343864	860
MIR6721	6	32170030	32170116	87
RNF5	6	32178405	32180793	2389
	1	112517799	112518441	643
LINC00272	1	182407621	182414815	7195
DQX1	2	74518131	74526281	8151
ARMCX5	X	102599168	102604159	4992
VDAC1P10	1	215376484	215377374	891
	1	104998406	105032365	33960
GS1-204I12.4	1	185646463	185657168	10706
	1	247042791	247044021	1231
LINC01677	1	105927620	106028277	100658
FTH1P21	4	156006478	156006988	511
PSORS1C2	HSCHR6_MHC_COX_CTG1	2619927	2621743	1817
CTSO	4	155921580	155953912	32333
HCP5	HSCHR6_MHC_COX_CTG1	2940500	2943134	2635
CLIP2	7	74289407	74405935	116529
HMCN1	1	185734391	186190949	456559
OR13J1	9	35869463	35870401	939
GAB3	X	154675249	154751583	76335
SCUBE1-AS2	22	43212674	43213661	988
ELF2P3	9	87816465	87817970	1506
NPAP1P7	9	87825146	87825968	823
	22	43232141	43239010	6870
CTSLP8	9	87844154	87847314	3161
	9	87848113	87853526	5414
TRIM39	HSCHR6_MHC_COX_CTG1	1806156	1823410	17255
INPP5J	22	31122731	31134697	11967
SPATA31E1	9	87882877	87888903	6027
SPMIP6	9	34379019	34397828	18810
DEFB135	8	11982256	11984590	2335
LINC02688	HG107_HG2565_PATCH	46620	52489	5870
MUC5AC	HG107_HG2565_PATCH	155427	198622	43196
ZNF596	8	232137	264703	32567
MIR6833	6	32179816	32179876	61
	6	32184733	32185882	1150
PBX2	6	32184733	32190202	5470
Y_RNA	20	44344839	44344933	95
MIR3646	20	44408120	44408203	84
MUC2	HG107_HG2565_PATCH	71614	108092	36479
DZANK1	20	18383367	18467281	83915
FAM219A	9	34398184	34458570	60387
LY6G6E	HSCHR6_MHC_SSTO_CTG1	3011632	3013108	1477
AUP1	2	74526645	74529760	3116
	19	7533595	7540059	6465
TRIM31-AS1	HSCHR6_MHC_SSTO_CTG1	1404169	1413646	9478
HLA-DPA3	HSCHR6_MHC_SSTO_CTG1	4579860	4579986	127
	HSCHR6_MHC_SSTO_CTG1	1657735	1658368	634
HCG15	HSCHR6_MHC_SSTO_CTG1	295659	296940	1282
PAIP1P1	HSCHR6_MHC_SSTO_CTG1	1485687	1487496	1810
NFKBIL1	HSCHR6_MHC_SSTO_CTG1	2846154	2858110	11957
MIR6514	11	62792702	62792771	70
	11	62807682	62808063	382
RNU6-118P	11	62815966	62816067	102
STX5-DT	11	62832234	62834043	1810
RNU2-2P	11	62841619	62841809	191
SNORD22	11	62852910	62853035	126
SNORD30	11	62853663	62853732	70
SNORD22	11	62854161	62854285	125
SNORD28	11	62854621	62854695	75
SNORD27	11	62855012	62855083	72
SNORD26	11	62855292	62855366	75
SNORD25	11	62855564	62855632	69
MIR130AHG	11	57638024	57652790	14767
PNPLA6	19	7534004	7561764	27761
WDR25	14	100376418	100530303	153886
GPSM3	6	32190766	32195523	4758
YPEL4	11	57645087	57649944	4858
RNU6-35P	4	109992325	109992431	107
ELOVL6	4	110045846	110199199	153354
SNORA36A	X	154768528	154768659	132
MIR664B	X	154768596	154768656	61
SNORA56	X	154774998	154775126	129
SMIM9	X	154823348	154834662	11315
TNS2	12	53046969	53064379	17411
MIR1184-1	X	154887360	154887458	99
SYTL4	X	100671783	100732123	60341
DDR1	HSCHR6_MHC_APD_CTG1	2214729	2218933	4205
RNA5SP233	7	74487428	74487540	113
INHBA	7	41667168	41705834	38667
MAGEF1	3	184710364	184712064	1701
	10	48246525	48248512	1988
LINC02069	3	184725013	184773178	48166
ARL5AP1	X	119186442	119186829	388
RPS6P14	10	48292699	48293417	719
KIAA1210	X	119078635	119150579	71945
MAPK8	10	48306639	48439360	132722
	3	184741937	184742462	526
	3	184742818	184743284	467
WNK2	9	93184122	93320572	136451
	3	184778723	184780720	1998
C3orf70	3	185076838	185153060	76223
NOTCH4	6	32194843	32224067	29225
DDX6P1	HSCHR6_MHC_SSTO_CTG1	639065	640500	1436
ABCF1	HSCHR6_MHC_SSTO_CTG1	1872133	1897937	25805
EHHADH-AS1	3	185162871	185191955	29085
